FISCALIZAÇÃO DE CONTRATOS GCQ - CONTROLE DE QUALIDADE;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO;EMPRESA;PROCESSO DE CONTRATAÇÃO;PROCESSO DE FISCALIZAÇÃO;INICIO;STATUS;DESCRIÇÃO;;;;;;;;;;;;;;;;;;;
Contrato n° 06/2024;MERCK S/A;25800.002805/2023;25800.001630/2024;12/03/2024;RENOVADO;Prestação de serviços especializados de manutenção com fornecimento de peças e consumíveis, bem como calibração/qualificação, quando aplicável, para os purificadores de água Milli-Q (modelo IX7015), sistemas de água ultrapura (modelo IQ 7010), Milliflex (modelo Oasis) e Bomba Steritest (modelo Symbio ISL);;;;;;;;;;;;;;;;;;;
Contrato n° 14/2024;WATERS TECHNOLOGIES DO BRASIL LTDA.;25800.005314/2023;25800.002211/2024;10/04/2024;RENOVADO;Prestação de serviços especializados de manutenção preventiva, corretiva e qualificação para os equipamentos de cromatografia líquida de alta eficiência HPLC ACQUITY Arc Bio System com detector de fluorescência com célula de fluxo de baixa dispersão, HPLC Alliance e2695 com detector de fluorescência, HPLC Alliance e2695 com detector de índice de refração e HPLC Alliance e2695 com detectores UV-Vis e ELS;;;;;;;;;;;;;;;;;;;
Contrato n° 19/2024;LINECONTROL COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;25800.004579/2023;25800.003187/2024;21/05/2024;RENOVADO;Fornecimento de peça e prestação de serviços especializados de manutenção e qualificação do equipamento TOC da marca Sievers;;;;;;;;;;;;;;;;;;;
ICLA;AUTEC – EQUIPAMENTOS DE LABORATÓRIO LTDA;25800.001819/2024;;23/05/2024;REFAZER CONTRATO;Prestação de serviços especializados de manutenção e qualificação, incluindo o fornecimento de peças, em equipamento de cromatografia em camada delgada, -, instrumental, marca Camag.;;;;;;;;;;;;;;;;;;;
Contrato n° 20/2024;METTLER-TOLEDO INDÚSTRIA E COMÉRCIO LTDA;25800.002409/2023;25800.003365/2024;28/05/2024;RENOVADO;prestação de serviços especializados de manutenção, calibração e qualificação para as balanças Mettler Toledo modelos XSR205DU, XPR36DR/A e ICS685;;;;;;;;;;;;;;;;;;;
Contrato n° 21/2024;AGILENT TECHNOLOGIES LTDA;25800.008005/2023;25800.003427/2024;29/05/2024;RENOVADO;Fornecimento de peças e prestação de serviços especializados de manutenção e qualificação dos equipamentos Cromatográficos Gasosos, Sistema de Eletroforese Capilar e ICP/OES;;;;;;;;;;;;;;;;;;;
Contrato n° 34/2024;PERKINELMER DO BRASIL ANALÍTICA LTDA;25800.000795/2024;25800.003819/2024;12/06/2024;RENOVADO;Fornecimento de peças e prestação de serviços especializados de manutenção e qualificação do equipamento Espectrômetro de Infravermelho (IV);;;;;;;;;;;;;;;;;;;
CONTRATO Nº 42/2024;METROHM BRASIL INSTRUMENTAÇÃO ANALÍTICA LTDA;25800.006163/2023;;01/07/2024;REFAZER CONTRATO;Prestação de serviços especializados de manutenção preventiva, corretiva, calibração, qualificação para os equipamentos: Modulo de Condutividade e pH (Tritando 856/867), Titulador automático (Tritando 888), Titulador Karl Fisher (Titrando 852 – 1900001041251) e Titulador Karl Fisher (Titrando 852 – 1803001049514).;;;;;;;;;;;;;;;;;;;
CONTRATO Nº ;METROHM BRASIL INSTRUMENTAÇÃO ANALÍTICA LTDA;25800.001836/2025-01;;;PENDENTE;Prestação de serviços especializados de manutenção preventiva, corretiva, calibração, qualificação para os equipamentos: Modulo de Condutividade e pH (Tritando 856/867), Titulador automático (Tritando 888), Titulador Karl Fisher (Titrando 852 – 1900001041251) e Titulador Karl Fisher (Titrando 852 – 1803001049514).;;;;;;;;;;;;;;;;;;;
Contrato nº 44/2024;SHIMADZU DO BRASIL COMÉRCIO LTDA;25800.006595/2023;25800.004886/2024;05/08/2024;PENDENTE;Fornecimento de peça e prestação de serviços especializados de manutenção e qualificação do equipamento Espectrofotômetro de Fluorescência RF-6000, Espectrofotômetro UV Modelo UV-2600i N° Série A12595900841, Espectrofotômetro UV Modelo UV-2600i N° Série A12595900842;;;;;;;;;;;;;;;;;;;
