Item;TAG;DESCRIÇÃO;SALA/BLOCO;BLOCO;MARCA;MODELO;Nº DE SÉRIE;STATUS DE USO;MÉTODO;ROTINA DE USO;STATUS DE AQUISIÇÃO;INSTALAÇÃO;MANUTENÇÃO;CALIBRAÇÃO;QUALIFICAÇÃO;HANDOVER;FORMULÁRIO;RELATÓRIO HOMOLOGADO;N° PROCESSO;N° CONTRATO;EMPRESA;COMENTÁRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;APV-512-0001;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;169576;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;APV-512-0002;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;169640;FORA DE USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;"Sofreu uma queda e precisa trocar a carcaça que está quebrada.
14/02: aguardando emissão de nota fiscal para envio do equipamento.
21/02: sem retorno.
21/03: Aguardando emissão de nota fiscal para envio dos equipamentos. Ultimo retorno em 20/03/2025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;APV-512-0003;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;169642;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;APV-512-0004;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;169643;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;APV-512-0005;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;169644;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;APV-512-0006;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170101;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;APV-512-0007;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170104;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;APV-512-0008;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170105;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;APV-512-0009;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170106;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;APV-512-0010;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170559;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;APV-512-0011;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170612;EM USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;APV-512-0012;Amostrador de Partículas viáveis;N/A;B06;PMS;Minicapt Mobile 100 LPM;170622;FORA DE USO;Amostragem de partículas viáveis em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;"Apresenta bateria fraca apesar de receber carga por horas e acaba se desligando sozinho por não segurar carga
14/02: aguardando emissão de nota fiscal para envio do equipamento.
21/02: retorno.
21/03: Aguardando emissão de nota fiscal para envio dos equipamentos. Ultimo retorno em 20/03/2025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BAL-512-0001;Balança analítica;N125;B05;Shimadzu;AUX 220;D305020254;FORA DE USO;"FASE 2A - EMBALAGEM; 
DILUENTE sWFI PARA HEMO8R; 
UMIDADE HEMO8R KARL FISHER;";SIM;ADQUIRIDO;INSTALADO;SIM;SIM;SIM;N/A;N/A;N/A;;;;"Balança apresentando defeito. Necessário realizar avaliação, uma nova calibração e requalificação já que ela teve seu local alterado. Solicitamos avaliação por parte do SM antes de realizar a calibração por parte da COMPETEC. Rafael veio em 11/09 e Anderson Arndt mostrou os erros que a balança estava apresentando. No dia seguinte Rafael pediu que Héslio recolhesse a balança para avaliação no B12, mas não houve solicitação formal então Anderson não autorizou a retirada. Até o momento não houve mais atualização. Balança será enviada para empresa externa para cotação dos serviços. A balança retornou do serviço em 04/12/2024. Aguardando instalação para solicitar calibração. Calibração solicitada à Rafael em 05/12/2024. Calibração realizada, aguardando o envio do certificado de calibração para avaliação do SVC.
21/02: previsão de execução da calibração para março
13/03: Aguardando o SVC executar a qualificação";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;BM-512-0001;Banho-maria 10L;N311;B06;LABINFARMA;LIF720.10;22091255;FORA DE USO;"POTÊNCIA; 
WB";;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;"O equipamento parou de aquecer. O SM irá avaliar e talvez trocar a resistência. Foi solicitada abertura de PCM para conserto. 
21/01: Getulio do SM levou o equipamento para avaliação
19/02: equipamento com a Elimco para avaliação.
11/06: Será enviado para a Trescal para avaliação e conserto";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;BPP-512-0001;Bloco padrão em aço – Classe 0;N125;B05;Mitutoyo;611641-021;130709;EM USO;FASE 2A - EMBALAGEM;SIM;ADQUIRIDO;N/A;NÃO;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;BPP-512-0002;Bloco padrão em aço – Classe 0;N125;B05;Mitutoyo;611675-021;132923;EM USO;FASE 2A - EMBALAGEM;SIM;ADQUIRIDO;N/A;NÃO;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;BPP-512-0003;Bloco padrão em aço – Classe 0;N125;B05;Mitutoyo;611681-021;132535;EM USO;FASE 2A - EMBALAGEM;SIM;ADQUIRIDO;N/A;NÃO;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;CAP-512-0001;Capela Para Manipulação de Produtos Químicos com Filtro Carvão Ativado Interno e Armário Corta Fogo ou de Reagentes.;N119;B06;OXICAMP;CE-180;Não consta;EM USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;21/02: aguardando corretiva por parte do SM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;CAP-512-0002;Capela Para Manipulação de Produtos Químicos com Filtro Carvão Ativado Interno.;N119;B06;OXICAMP;CE-180;Não consta;EM USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;21/02: aguardando corretiva por parte do SM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;CAP-512-0003;Capela Para Manipulação de Produtos Químicos com Filtro Carvão Ativado Interno e Armário Corta Fogo ou de Reagentes.;N311;B06;OXICAMP;CE-180;Não consta;EM USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;CAP-512-0004;Capela Para Manipulação de Produtos Químicos com Filtro Carvão Ativado Interno.;N311;B06;OXICAMP;CE-180;Não consta;EM USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;CAP-512-0005;Capela Para Manipulação de Produtos Químicos com Filtro Carvão Ativado Interno.;N323;B06;OXICAMP;CE-180;Não consta;EM USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;O técnico da Trescal executou a preventiva no equipamento, mas ao executar os testes de certificação da capela foi identificado um problema na exaustão. Corretiva agendada para 16/06.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;CLOR-512-0001;Clorímetro Portátil;N119;B06;Hanna;HI96711C;8185870;FORA DE USO;;;ADQUIRIDO;N/A;SIM;SIM;NÃO;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;"Diagnóstico do SM: foi verificado que a emissão de luz pelo fotômetro está insuficiente,  ou o receptor de luz não recebe o sinal. Como este tipo de fotômetro é de solução embarcada,  não temos como obter apenas o  emissor/receptor, fica inviável o reparo. 
11/06: Será enviado para a Trescal para avaliação e conserto";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;CONG-512-0001;Câmara de Conservação;N122;B05;Biotecno;BT 1100;2020.0598;EM USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;SIM;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;CONG-512-0002;Câmara de Conservação;N122;B05;Biotecno;BT 1100;2020.0599;FORA DE USO;;;ADQUIRIDO;INSTALADO;SIM;SIM;SIM;N/A;N/A;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;"Equipamento retirado de uso temporariamente até que seja realizada uma nova qualificação. 
Será aberto um CM para transferencia da câmara climática para o B06 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;CP-512-0001;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;168901;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;CP-512-0002;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;168907;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;CP-512-0003;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169390;FORA DE USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;Equipamento quebrado e colocado fora de uso. Será enviado para o conserto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;CP-512-0004;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169391;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
